VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,population
CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,8411,
CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,8265,
CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,8590,
CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,8821,
CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,8457,
CICDSANG,Diseases of the blood and blood-forming organs,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,404,
CICDSANG,Diseases of the blood and blood-forming organs,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,463,
CICDSANG,Diseases of the blood and blood-forming organs,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,434,
CICDSANG,Diseases of the blood and blood-forming organs,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,502,
CICDSANG,Diseases of the blood and blood-forming organs,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,535,
CICDSANG,Diseases of the blood and blood-forming organs,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,525,
CICDSANG,Diseases of the blood and blood-forming organs,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,491,
CICDSANG,Diseases of the blood and blood-forming organs,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,538,
CICDSANG,Diseases of the blood and blood-forming organs,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,492,
CICDSANG,Diseases of the blood and blood-forming organs,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,558,
CICDSANG,Diseases of the blood and blood-forming organs,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,541,
CICDENDO,"Endocrine, nutritional and metabolic diseases",NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,5710,
CICDENDO,"Endocrine, nutritional and metabolic diseases",NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,6080,
CICDENDO,"Endocrine, nutritional and metabolic diseases",NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,6050,
CICDENDO,"Endocrine, nutritional and metabolic diseases",NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,6108,
CICDENDO,"Endocrine, nutritional and metabolic diseases",NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,6219,
CICDENDO,"Endocrine, nutritional and metabolic diseases",NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,6689,
CICDENDO,"Endocrine, nutritional and metabolic diseases",NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,6770,
CICDENDO,"Endocrine, nutritional and metabolic diseases",NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,6856,
CICDENDO,"Endocrine, nutritional and metabolic diseases",NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,6580,
CICDENDO,"Endocrine, nutritional and metabolic diseases",NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,7101,
CICDENDO,"Endocrine, nutritional and metabolic diseases",NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,7257,
CICDDBTM,Diabetes mellitus,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,3946,
CICDDBTM,Diabetes mellitus,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,4211,
CICDDBTM,Diabetes mellitus,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,4241,
CICDDBTM,Diabetes mellitus,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,4333,
CICDDBTM,Diabetes mellitus,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,4357,
CICDDBTM,Diabetes mellitus,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,4690,
CICDDBTM,Diabetes mellitus,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,4783,
CICDDBTM,Diabetes mellitus,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,4865,
CICDDBTM,Diabetes mellitus,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,4651,
CICDDBTM,Diabetes mellitus,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,4967,
CICDDBTM,Diabetes mellitus,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,5148,
CICDTROU,Mental and behavioural disorders,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,7030,
CICDTROU,Mental and behavioural disorders,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,7641,
CICDTROU,Mental and behavioural disorders,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,8113,
CICDTROU,Mental and behavioural disorders,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,8191,
CICDTROU,Mental and behavioural disorders,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,9006,
